id,priority,priority_name,requirement,verify,verify_name,section,section_title,detail_in
R10.1,T,threshold,Every telemetry field documented in the recovered manual SHALL be decodable by a tester using only the manual and captured downlink frames.,D,demonstration,6.2,Reverse Engineering Surface,Scenario Package Format
R10.2,T,threshold,At least 1 telemetry channel SHALL be present in downlink frames and absent from the recovered manual.,I,inspection,6.2,Reverse Engineering Surface,Firmware Design Specification; Scenario Package Format
R11.1,T,threshold,"The daemon SHALL discover and load every conforming scenario package present under the content directory at startup, with no platform code change, rebuild, or configuration edit.",T,test,6.3,Extensibility,
R11.2,T,threshold,"Installing a second scenario SHALL require only copying one directory into the content directory, verified by an empty diff across all platform repositories.",D,demonstration,6.3,Extensibility,Platform Design (advisory)
R11.3,T,threshold,"All firmware-specific knowledge (addresses, telemetry formats, objective assertions) SHALL reside in scenario packages; platform source SHALL contain no scenario-specific constants.",I,inspection,6.3,Extensibility,Scenario Package Format; Platform Design (advisory)
R12,T,threshold,"The scenario-author's guide SHALL enable the sponsor, working unaided, to author and successfully run a new one-objective scenario in at most 4 hours.",D,demonstration,6.3,Extensibility,Scenario Author's Guide
R13,O,objective,"The scenario validation tool SHALL flag 100 % of seeded defects in a test corpus containing at least 3 cases each of: malformed manifest, unparsable assertion, and assertion address outside the memory map.",T,test,6.3,Extensibility,Scenario Package Format
R14.1,T,threshold,"100 % of player state (profile, per-scenario objective states, command log) SHALL reside on the mounted volume; no player state SHALL be written to the container filesystem.",T,test,6.4,Persistence & Identity,Platform Design (advisory)
R14.2,T,threshold,The player profile SHALL consist of a locally chosen display name of 1–32 characters; the platform SHALL require no authentication.,I,inspection,6.4,Persistence & Identity,Platform Design (advisory)
R15.1,T,threshold,"After a container restart, command-log replay SHALL restore all objective states to their pre-restart values within 60 s for logs of up to 500 commands.",T,test,6.4,Persistence & Identity,Firmware Design Specification; Scenario Package Format; Platform Design (advisory)
R15.2,T,threshold,A save volume written by platform version N SHALL load without loss in every later version released during the semester.,T,test,6.4,Persistence & Identity,Platform Design (advisory)
R16,O,objective,"For each completed objective, the platform SHALL record the completion timestamp and the cumulative uplink count at completion, and SHALL display both on a profile screen.",D,demonstration,6.4,Persistence & Identity,Platform Design (advisory)
R17.1,T,threshold,"One documented command SHALL take a reference machine (4 CPU cores, 8 GB RAM, Docker Engine ≥ 24; Linux, macOS, or Windows with WSL2) from pulled image to a playable console in at most 120 s.",D,demonstration,6.5,Deployment,Platform Design (advisory)
R17.2,O,objective,The container image SHALL be at most 4 GB.,I,inspection,6.5,Deployment,
R18,T,threshold,"During play, the container SHALL initiate zero outbound network connections, verified by packet capture over one complete scenario run.",T,test,6.5,Deployment,
R19,T,threshold,"The container image SHALL contain no instructor-only data (solution states, grading keys, symbol maps), verified by review of the image manifest and layers.",I,inspection,6.5,Deployment,Scenario Package Format; Introspection API; Scenario Author's Guide
R20.1,T,threshold,The assertion evaluator and scenario loader SHALL each have automated tests achieving at least 70 % line coverage.,T,test,6.6,Quality & Documentation,Platform Design (advisory)
R20.2,T,threshold,"An automated end-to-end test SHALL play the reference scenario to completion through the daemon API in at most 10 minutes, and SHALL run in CI on every merge to the default branch.",T,test,6.6,Quality & Documentation,Platform Design (advisory)
R20.3,T,threshold,"The scenario conformance suite SHALL pass in full on every merge to the default branch, with zero failures across its validation and replay cases.",T,test,6.6,Quality & Documentation,
R21,T,threshold,"Delivery SHALL include exactly these documents: (a) the player quickstart; (b) the reference scenario's recovered manual; (c) the platform architecture & maintenance guide, produced by the team; and (d) the four sponsor-furnished specifications — Firmware Design, Scenario Package Format, Introspection API, and Scenario Author's Guide — carried forward at the revision delivered.",I,inspection,6.6,Quality & Documentation,
R22.1,T,threshold,"Each command-log entry SHALL contain: a monotonically increasing sequence number with no gaps; the **probe uptime in milliseconds at which the command was applied**, which is authoritative for replay; the raw uplink text verbatim; the budget resource charged, or null; and the probe's reply verbatim. A wall-clock timestamp MAY additionally be recorded for human reading and SHALL NOT be used to schedule replay.",T,test,6.7,Future-Proofing,
R22.2,O,objective,"The command-log format SHALL be versioned and documented such that an instructor-side replay verifier can be built with no platform changes, confirmed by analysis at the design review.",A,analysis,6.7,Future-Proofing,
R23.1,T,threshold,"The daemon SHALL load only packages conforming to the Scenario Package Format at the format revision it implements, and SHALL refuse any package declaring a higher `format` value, reporting the package path and the unsupported value.",T,test,6.8,Scenario Package & Content Seam,
R23.2,T,threshold,"The daemon SHALL ignore unrecognized keys at every level of a package rather than refusing it, so that a package authored against a later revision of the format loads without platform change.",T,test,6.8,Scenario Package & Content Seam,
R23.3,T,threshold,"Within 10 s of session start the daemon SHALL compare the application-image CRC32 reported by the probe at boot against the package's declared `app_crc32`, and on mismatch SHALL refuse to start the scenario and report both values.",T,test,6.8,Scenario Package & Content Seam,
R23.4,T,threshold,"Scenario assertions SHALL address probe memory by symbol name resolved through the package's symbol map, or by absolute address only for peripheral register blocks; every resolved address and range SHALL fall inside a region declared in the package's memory map.",T,test,6.8,Scenario Package & Content Seam,
R23.5,T,threshold,"A package containing executable predicate code SHALL declare itself impure; the daemon SHALL provide a mode that refuses impure packages, and that mode SHALL be the default for any packaged distribution.",T,test,6.8,Scenario Package & Content Seam,
R23.6,T,threshold,"Every scenario package delivered with the platform SHALL be pure content, containing no executable predicate code.",I,inspection,6.8,Scenario Package & Content Seam,
R23.7,T,threshold,"The daemon SHALL expose a non-interactive entry point that accepts a scenario directory and a command log, replays the log, and emits final objective states as JSON, per the format specification's conformance interface.",T,test,6.8,Scenario Package & Content Seam,
R23.8,T,threshold,"Package setup writes SHALL be applied before the first evaluated frame, SHALL NOT be charged to any command budget, and SHALL NOT appear in the command log.",T,test,6.8,Scenario Package & Content Seam,
R23.9,T,threshold,"Objectives SHALL be evaluated in the order declared by the package, and within each objective in the order: failure condition, partial conditions, success condition.",T,test,6.8,Scenario Package & Content Seam,
R23.10,T,threshold,"A predicate over absent telemetry — an absent channel, an undefined field path, or a frame failing CRC — SHALL evaluate false and SHALL NOT abort the evaluation pass.",T,test,6.8,Scenario Package & Content Seam,
R24.1,T,threshold,"The platform SHALL maintain exactly two connections to the probe: a command channel carrying only player-originated uplinks, and a read-only introspection channel used only for objective evaluation.",I,inspection,6.9,Evaluation Integrity & Introspection,Introspection API
R24.2,T,threshold,The daemon SHALL originate no uplink command of its own. Every command delivered to the probe SHALL correspond to exactly one player action recorded in the command log.,T,test,6.9,Evaluation Integrity & Introspection,Introspection API
R24.3,T,threshold,The daemon SHALL NOT write probe memory or registers over the introspection channel.,I,inspection,6.9,Evaluation Integrity & Introspection,Introspection API
R24.4,T,threshold,"Introspection activity SHALL NOT be charged to any command budget, SHALL NOT be appended to the command log, and SHALL NOT alter any value observable in downlink telemetry.",T,test,6.9,Evaluation Integrity & Introspection,Introspection API
R24.5,T,threshold,"The daemon SHALL use only these GDB remote serial protocol packets: query halt reason, read memory, negotiate supported features, continue, detach, and the raw interrupt byte.",I,inspection,6.9,Evaluation Integrity & Introspection,Introspection API
R24.6,T,threshold,"The daemon SHALL NOT send write-memory, write-register, breakpoint, watchpoint, single-step or kill packets. Each either mutates the probe or alters its timing, and a breakpoint left set changes execution timing for the remainder of the session while being invisible in the command log.",I,inspection,6.9,Evaluation Integrity & Introspection,Introspection API
R24.7,T,threshold,"The daemon SHALL decode run-length encoding in received packet data, in which an asterisk is followed by one character whose value less 29 is the count of additional repeats of the preceding character.",T,test,6.9,Evaluation Integrity & Introspection,Introspection API
R24.8,T,threshold,The daemon SHALL treat a reply beginning with the error prefix as a failed read and SHALL NOT interpret its characters as data.,T,test,6.9,Evaluation Integrity & Introspection,Introspection API
R24.9,T,threshold,"The daemon SHALL honor the maximum packet size the stub advertises, SHALL split any longer read into chunks of at most 1024 bytes, and SHALL reassemble them in order.",T,test,6.9,Evaluation Integrity & Introspection,Introspection API
R24.10,T,threshold,"For each downlink frame the daemon SHALL, in this order: decode the frame; compute its event list; apply any uplink whose delay has expired; halt the guest; perform every memory read the pass requires; resume the guest; then evaluate objectives.",T,test,6.9,Evaluation Integrity & Introspection,Introspection API
R24.11,T,threshold,All memory reads within one evaluation pass SHALL observe probe state at a single instant.,T,test,6.9,Evaluation Integrity & Introspection,
R24.12,T,threshold,"The daemon SHALL cache reads within one evaluation pass so that a repeated address and length is fetched once, and SHALL NOT cache reads across passes.",T,test,6.9,Evaluation Integrity & Introspection,Introspection API
R24.13,T,threshold,"The snapshot window SHALL NOT exceed 250 ms, and exceeding it SHALL be treated as an error rather than leaving the probe halted.",T,test,6.9,Evaluation Integrity & Introspection,Introspection API
R24.14,T,threshold,"A predicate over absent telemetry — an absent channel, an undefined field path, or a frame failing CRC — SHALL evaluate false and SHALL NOT abort the evaluation pass.",T,test,6.9,Evaluation Integrity & Introspection,Introspection API
R24.15,T,threshold,"A failed introspection read — connection refused, timeout, error reply, or short read — SHALL abort the evaluation pass and leave every objective state unchanged; it SHALL NOT be evaluated as a false predicate.",T,test,6.9,Evaluation Integrity & Introspection,Introspection API
R24.16,T,threshold,"On loss of the introspection channel the daemon SHALL attempt reconnection before the next evaluation pass, and SHALL report degraded grading to the console within one telemetry period if reconnection fails.",D,demonstration,6.9,Evaluation Integrity & Introspection,Introspection API
R24.17,T,threshold,"The daemon SHALL contain no emulator-specific introspection code; substituting the harness-tier emulator SHALL require configuration change only, verified by an empty diff across daemon source.",I,inspection,6.9,Evaluation Integrity & Introspection,Introspection API
R24.18,T,threshold,The emulator SHALL bind the introspection port to the loopback interface only.,I,inspection,6.9,Evaluation Integrity & Introspection,Introspection API
R24.19,T,threshold,The introspection channel SHALL NOT be documented in any player-facing material and SHALL NOT be reachable from the console.,I,inspection,6.9,Evaluation Integrity & Introspection,Introspection API
R24.20,T,threshold,"No instructor-only data, the symbol map above all, SHALL be reachable through the introspection channel or present in the player image.",I,inspection,6.9,Evaluation Integrity & Introspection,Introspection API
R24.21,T,threshold,"Objective evaluation SHALL be a pure function of setup state, the command log, and probe behavior. No objective state SHALL depend on wall-clock time, host performance, or a random source. Verified by replaying one command log of at least 20 commands twice and obtaining identical objective states and identical first-completion frame numbers.",T,test,6.9,Evaluation Integrity & Introspection,Introspection API
R25.1,T,threshold,"The console SHALL present five regions simultaneously and without navigation: spacecraft read-out, downlink frame feed, uplink terminal, mission status, and ground-station link status.",D,demonstration,6.11,Ground-Station Console,
R25.2,T,threshold,"The downlink feed SHALL display every received frame as transmitted, in hexadecimal, in arrival order, retaining at least the most recent 200 frames, and SHALL mark any frame failing CRC as corrupt without discarding it.",D,demonstration,6.11,Ground-Station Console,
R25.3,T,threshold,The spacecraft read-out SHALL present decoded values **only** for channels the active scenario package lists in `console.decode`; every other channel SHALL appear in the downlink feed as raw hexadecimal only.,T,test,6.11,Ground-Station Console,
R25.4,T,threshold,"When a decoded channel leaves the downlink, the read-out SHALL mark it absent within one telemetry period and SHALL NOT continue to display its last value.",T,test,6.11,Ground-Station Console,
R25.5,T,threshold,"The uplink terminal SHALL accept typed commands, maintain a recallable history of at least the most recent 500 commands per player across sessions, and display for each command in flight its remaining transmission delay to a resolution of 1 s.",D,demonstration,6.11,Ground-Station Console,
R25.6,T,threshold,"The console SHALL display remaining write and read allowance whenever the active scenario declares a budget, and SHALL indicate a command refused for budget distinctly from a command the probe rejected.",D,demonstration,6.11,Ground-Station Console,
R25.7,T,threshold,"The mission status panel SHALL render objectives in the order declared by the package, showing state, brief text for `active` and `complete` objectives, current partial diagnostic text, and revealed hints — and SHALL reveal neither brief nor hints for a `locked` objective.",D,demonstration,6.11,Ground-Station Console,
R25.8,T,threshold,"The link panel SHALL identify the Deep Space Network complex currently holding the link, name the specific antenna carrying it, and animate signal activity distinctly for downlink reception and for an uplink in flight.",D,demonstration,6.11,Ground-Station Console,
R25.9,T,threshold,"The complex in contact SHALL be derived from probe uptime unless the scenario pins one, so that a replayed session displays the same station sequence as the original.",T,test,6.11,Ground-Station Console,Platform Design (advisory)
R25.10,T,threshold,"The link panel SHALL display the one-way transmission delay in force and the spacecraft antenna in use, and SHALL indicate loss of link within one telemetry period of the probe ceasing to transmit.",D,demonstration,6.11,Ground-Station Console,
R25.11,O,objective,"Antenna selection within a complex SHALL reflect the spacecraft antenna in use, a larger aperture being shown for the high-gain link than for the low-gain link.",D,demonstration,6.11,Ground-Station Console,
R26.1,T,threshold,"The console SHALL provide a menu offering, at minimum: start a scenario, abort the running scenario, save the session, load a saved session, and exit.",D,demonstration,6.11,Ground-Station Console,
R26.2,T,threshold,"Starting a scenario while one is running SHALL require an explicit confirmation, and SHALL abort the running session before the new one begins.",D,demonstration,6.11,Ground-Station Console,Platform Design (advisory)
R26.3,T,threshold,"Aborting a running scenario SHALL terminate the probe process and release its ports within 10 s, SHALL preserve the command log in full, and SHALL leave the session resumable.",T,test,6.11,Ground-Station Console,
R26.4,T,threshold,"Save SHALL write a portable session archive containing the command log, the scenario identifier and revision, and the player profile, and SHALL NOT require the scenario to be stopped.",T,test,6.11,Ground-Station Console,
R26.5,T,threshold,"Load SHALL restore a session from such an archive by replay (R15.1), SHALL refuse an archive whose scenario identifier is not installed, and SHALL warn when the installed revision is higher than the archive's.",T,test,6.11,Ground-Station Console,
R26.6,T,threshold,"Exit SHALL terminate the probe process, flush the command log, and leave no orphaned emulator process, verified by process inspection after exit.",T,test,6.11,Ground-Station Console,Platform Design (advisory)
R26.7,T,threshold,No menu action SHALL be able to alter objective state other than by replaying a command log.,I,inspection,6.11,Ground-Station Console,
